step,scope,group,samples,cer_micro,wer_micro,wavlm_similarity_mean,camp_similarity_mean,dnsmos_ovrl_mean,evaluation_failures
1000,smoke_8_per_group,ljs_en,8,0.05759162303664921,0.11235955056179775,0.3746809847652912,0.7387980371713638,2.494932936580775,0
1000,smoke_8_per_group,majestic_en,8,0.028795811518324606,0.056179775280898875,0.573565386235714,0.7449105978012085,3.1954726594555662,0
1000,smoke_8_per_group,majestic_zh,8,0.08783783783783784,,0.6983376741409302,0.6327696219086647,3.3691635970437996,0
1000,smoke_8_per_group,majestic_mixed,8,0.12021857923497267,0.2222222222222222,0.6422615051269531,0.589669369161129,3.2954124232226443,0
2000,full_650,ljs_en,200,0.038465569646787545,0.06180589087397392,0.38579122576862573,0.7443442910909652,2.6826957537245373,0
2000,full_650,majestic_en,200,0.018865946965726865,0.03380009657170449,0.6299859508872032,0.7618134579062462,3.1793659646935857,0
2000,full_650,majestic_zh,200,0.03015873015873016,,0.7203438031673431,0.6419804322719574,3.3251062136145504,0
2000,full_650,majestic_mixed,50,0.09485815602836879,0.2916666666666667,0.6689702951908112,0.6161714398860931,3.3210990745324285,0
5000,full_650,ljs_en,200,0.02001886594696573,0.03959439884113954,0.46168120557442305,0.7808433482050896,2.808590800771956,0
5000,full_650,majestic_en,200,0.011214757362959857,0.0226943505552873,0.6697280183434486,0.7781238287687302,3.1926146854534596,0
5000,full_650,majestic_zh,200,0.015343915343915344,,0.7484592038393021,0.6741513961553574,3.3374467558267815,0
5000,full_650,majestic_mixed,50,0.04875886524822695,0.1875,0.6854220926761627,0.648627198934555,3.332857277216169,0
10000,full_650,ljs_en,200,0.014883135939628969,0.027522935779816515,0.53433410204947,0.81387885004282,2.865320928434114,0
10000,full_650,majestic_en,200,0.00597421653914684,0.014002897151134718,0.7039405614137649,0.785606575012207,3.2137572995652395,0
10000,full_650,majestic_zh,200,0.016666666666666666,,0.7589676809310913,0.6732085004448891,3.3444634614724276,0
10000,full_650,majestic_mixed,50,0.013297872340425532,0.07291666666666667,0.7068584609031677,0.6504828536510467,3.325240832592072,0
15000,full_650,ljs_en,200,0.008384865318100829,0.016900048285852245,0.5554345507919788,0.8092388170957565,3.0142288896026086,0
15000,full_650,majestic_en,200,0.005659784089718059,0.014485755673587638,0.7212249863147736,0.794115754365921,3.244841960401889,0
