step,group,subset,form,sentences,tokens,pearson,std_ratio,cv_ratio,mean_ratio,mae_frames,sentence_mean_normalized_std_ratio,source
45000,speaker_0/English,speech,inference,232,15576,0.6243317889772272,0.6183569224026667,0.5990077868362755,1.0323019766881256,1.3582434514637904,0.6036949340451931,/119010446/tts-assets/training_runs/ljs_majestic_100h_backbone21k_20260914/eval/step_00045000/duration_summary.json
100000,speaker_1/Chinese,speech,raw,192,12060,0.6665807378639031,0.6754212973425923,0.7108584824948202,0.9501487482742585,1.1334432551516822,0.7162700021952964,/119010446/tts-assets/training_runs/ljs_majestic_100h_backbone21k_20260914/eval/step_00100000/duration_summary.json
100000,speaker_1/Chinese,speech,inference,192,12060,0.6580074918508229,0.6761337749843179,0.6380080811079812,1.0597573839662446,1.2699004975124377,0.6424823254476889,/119010446/tts-assets/training_runs/ljs_majestic_100h_backbone21k_20260914/eval/step_00100000/duration_summary.json
100000,speaker_1/English,speech,raw,115,7329,0.6339682213855018,0.6586077353028473,0.724960801158041,0.9084735812623217,1.2750483881908348,0.733120393037484,/119010446/tts-assets/training_runs/ljs_majestic_100h_backbone21k_20260914/eval/step_00100000/duration_summary.json
100000,speaker_1/English,speech,inference,115,7329,0.6234810980334222,0.6562079387553543,0.6387915972602399,1.0272645125105162,1.3383817710465276,0.645611607017286,/119010446/tts-assets/training_runs/ljs_majestic_100h_backbone21k_20260914/eval/step_00100000/duration_summary.json
100000,speaker_1/Mixed,speech,raw,93,6321,0.6679999835298108,0.6943881333561981,0.7405519651701978,0.9376629406372717,1.1972969785707508,0.7552037098327562,/119010446/tts-assets/training_runs/ljs_majestic_100h_backbone21k_20260914/eval/step_00100000/duration_summary.json
100000,speaker_1/Mixed,speech,inference,93,6321,0.6570789898620452,0.6938865468778826,0.6616205649471644,1.0487681061323946,1.3043822180034805,0.6745711502760244,/119010446/tts-assets/training_runs/ljs_majestic_100h_backbone21k_20260914/eval/step_00100000/duration_summary.json
100000,speaker_0/English,speech,raw,232,15576,0.6438951155696782,0.6522739378338039,0.6949990823657413,0.9385248907286281,1.2865279439433024,0.6988640919161636,/119010446/tts-assets/training_runs/ljs_majestic_100h_backbone21k_20260914/eval/step_00100000/duration_summary.json
100000,speaker_0/English,speech,inference,232,15576,0.6338611200839118,0.6582130683700588,0.6255558592109756,1.052205104753194,1.345724191063174,0.6292904864869129,/119010446/tts-assets/training_runs/ljs_majestic_100h_backbone21k_20260914/eval/step_00100000/duration_summary.json
170000,speaker_1/Chinese,speech,raw,192,12060,0.6543602882663719,0.6628248466659105,0.7079297942708301,0.9362861289778348,1.1218282710062726,0.7100561691649941,/119010446/tts-assets/training_runs/ljs_majestic_100h_backbone21k_20260914/eval/step_00170000/duration_summary.json
170000,speaker_1/Chinese,speech,inference,192,12060,0.6443360573162964,0.6627362300465804,0.6324570762760663,1.0478754288730536,1.2509950248756219,0.6342294853682081,/119010446/tts-assets/training_runs/ljs_majestic_100h_backbone21k_20260914/eval/step_00170000/duration_summary.json
170000,speaker_1/English,speech,raw,115,7329,0.6337855477352441,0.6448142847155376,0.7208920313875397,0.8944672109558887,1.285100519063447,0.726350902309918,/119010446/tts-assets/training_runs/ljs_majestic_100h_backbone21k_20260914/eval/step_00170000/duration_summary.json
170000,speaker_1/English,speech,inference,115,7329,0.62373150613124,0.6441321208378078,0.6351814310886751,1.0140915481955945,1.3331968890708146,0.6393940509894305,/119010446/tts-assets/training_runs/ljs_majestic_100h_backbone21k_20260914/eval/step_00170000/duration_summary.json
170000,speaker_1/Mixed,speech,raw,93,6321,0.6611721845905054,0.681959708034151,0.7376130382319509,0.9245494218334315,1.2050319199433075,0.7524512535103814,/119010446/tts-assets/training_runs/ljs_majestic_100h_backbone21k_20260914/eval/step_00170000/duration_summary.json
170000,speaker_1/Mixed,speech,inference,93,6321,0.6489288153797798,0.6800399814970122,0.6568973175876632,1.0352302609399233,1.3081790855877236,0.6696685412408271,/119010446/tts-assets/training_runs/ljs_majestic_100h_backbone21k_20260914/eval/step_00170000/duration_summary.json
170000,speaker_0/English,speech,raw,232,15576,0.6463678569216913,0.6544708304878651,0.7012074665801112,0.93334834792877,1.282720555456161,0.7042933956544682,/119010446/tts-assets/training_runs/ljs_majestic_100h_backbone21k_20260914/eval/step_00170000/duration_summary.json
170000,speaker_0/English,speech,inference,232,15576,0.6358230351951016,0.6590265918744692,0.6289381546304559,1.0478400571224564,1.3384694401643553,0.6322519771808339,/119010446/tts-assets/training_runs/ljs_majestic_100h_backbone21k_20260914/eval/step_00170000/duration_summary.json
