step,model,language,pearson,std_ratio,mae_frames,mean_ratio
2000,FM,English,0.6332691451171659,0.6216471443559191,1.4248417376118752,1.0414938557915299
2000,FM,Chinese,0.6208619357307662,0.618590040162783,1.340547263681592,1.04252956624425
2000,FM,Mixed,0.6265636157002034,0.6205018812608288,1.3890207245688972,1.031337777928187
2000,FM,all,0.6287395690587928,0.6209541908116688,1.3947342924962458,1.0402250203727557
2000,FM,speaker_0/English,0.6316560714176562,0.609475476821932,1.4522342064714946,1.0447270090904022
2000,FM,speaker_1/Chinese,0.6208619357307662,0.618590040162783,1.340547263681592,1.04252956624425
2000,FM,speaker_1/English,0.6355908703713992,0.6442400269370677,1.366625733387911,1.034291038981208
2000,FM,speaker_1/Mixed,0.6265636157002034,0.6205018812608288,1.3890207245688972,1.031337777928187
2000,IMF,English,0.6293518019317617,0.6446450032243382,1.4896747435057847,1.042933656664407
2000,IMF,Chinese,0.6240396857302932,0.6441449436348682,1.3932835820895522,1.0717192537392317
2000,IMF,Mixed,0.6290553608001578,0.6282760212600916,1.4363233665559247,1.045772046477265
2000,IMF,all,0.6276361566164678,0.6431345842751823,1.453349803807586,1.051917567595826
2000,IMF,speaker_0/English,0.6186076776691998,0.633963752067475,1.531587057010786,1.0481694502820482
2000,IMF,speaker_1/Chinese,0.6240396857302932,0.6441449436348682,1.3932835820895522,1.0717192537392317
2000,IMF,speaker_1/English,0.6517026701969906,0.6633320353418928,1.4006003547550825,1.0312509640598488
2000,IMF,speaker_1/Mixed,0.6290553608001578,0.6282760212600916,1.4363233665559247,1.045772046477265
5000,FM,English,0.6325067444343231,0.6318014646473873,1.379960707269155,1.0273214493766747
5000,FM,Chinese,0.6252716979423131,0.615924249631085,1.2970149253731342,1.037649964714185
5000,FM,Mixed,0.6398955487576602,0.6285401151322593,1.3423508938459106,1.021364925070879
5000,FM,all,0.6320365689349892,0.6274014371013285,1.3499733565857677,1.029481680260322
5000,FM,speaker_0/English,0.6332309302965884,0.624147825497866,1.4113379558294812,1.0361406769161459
