step,model,group,samples,cer_micro,wer_micro,wavlm_similarity_mean,camp_similarity_mean,dnsmos_ovrl_mean,dnsmos_sig_mean,dnsmos_bak_mean
2000,FM,majestic_zh,200,0.03015873015873016,,0.7203438031673431,0.6419804322719574,3.3251062136145504,3.5919296728855783,4.094118605047249
2000,FM,majestic_en,200,0.018865946965726865,0.03380009657170449,0.6299859508872032,0.7618134579062462,3.1793659646935857,3.4411340050774886,4.078576297095481
2000,FM,majestic_mixed,50,0.09485815602836879,0.2916666666666667,0.6689702951908112,0.6161714398860931,3.3210990745324285,3.575676509232019,4.114111820952885
2000,FM,ljs_en,200,0.038465569646787545,0.06180589087397392,0.38579122576862573,0.7443442910909652,2.6826957537245373,3.2896950797439355,3.3334639398767654
2000,IMF,majestic_zh,200,0.0082010582010582,,0.7416454651951789,0.5784380543231964,3.3089093609521414,3.5591887712537273,4.1185551636580655
2000,IMF,majestic_en,200,0.006498270621528142,0.014485755673587638,0.6705193975567818,0.7477875599265098,3.088686699555941,3.3463143125950734,4.0700784236935785
2000,IMF,majestic_mixed,50,0.013297872340425532,0.052083333333333336,0.6892113506793975,0.5529111605882645,3.253519320326476,3.512853092142564,4.098847069514167
2000,IMF,ljs_en,200,0.01194843307829368,0.028005794302269436,0.4581566321477294,0.6202606692165137,2.554017686611604,3.0836030410048094,3.3834677477266837
5000,FM,majestic_zh,200,0.015343915343915344,,0.7484592038393021,0.6741513961553574,3.3374467558267815,3.6012799151283006,4.099874168176305
5000,FM,majestic_en,200,0.011214757362959857,0.0226943505552873,0.6697280183434486,0.7781238287687302,3.1926146854534596,3.4574924019461344,4.075654880156082
5000,FM,majestic_mixed,50,0.04875886524822695,0.1875,0.6854220926761627,0.648627198934555,3.332857277216169,3.5897003948355115,4.121211356421407
5000,FM,ljs_en,200,0.02001886594696573,0.03959439884113954,0.46168120557442305,0.7808433482050896,2.808590800771956,3.354102461423696,3.4920919504204253
5000,IMF,majestic_zh,200,0.0068783068783068784,,0.7630475440621376,0.6197668814659119,3.356784787175765,3.600696390384158,4.136890490951644
5000,IMF,majestic_en,200,0.0060790273556231,0.012554321583775953,0.7103775337338447,0.7781222984194756,3.18477012247873,3.4369928834418904,4.099752694367103
5000,IMF,majestic_mixed,50,0.00975177304964539,0.08333333333333333,0.7036597406864167,0.5992696094512939,3.3159899221891886,3.5681294318743593,4.12097206315439
5000,IMF,ljs_en,200,0.008070432868672046,0.016900048285852245,0.5252948271483183,0.7085882887244225,2.7583569487362927,3.274033558383047,3.514072379847899
10000,FM,majestic_zh,200,0.016666666666666666,,0.7589676809310913,0.6732085004448891,3.3444634614724276,3.6077018872603213,4.102915724474762
10000,FM,majestic_en,200,0.00597421653914684,0.014002897151134718,0.7039405614137649,0.785606575012207,3.2137572995652395,3.478252392708324,4.084322355366143
