step,group,metric,imf_minus_fm,low95,high95
110000,majestic_zh,cer,-0.18518518518518517,-0.4474861805738352,0.07940814517142063
110000,majestic_zh,wavlm_similarity,-0.014318360090255737,-0.018392606258392334,-0.010192726112902164
110000,majestic_zh,camp_similarity,-0.0008166715502738953,-0.0038441382721066475,0.0022590615674853323
110000,majestic_zh,dnsmos_ovrl,-0.013707900317477952,-0.027751582225360123,-0.00022582717073360342
110000,majestic_en,wer,-0.19314340898116852,-0.516929450271964,0.09501753195339896
110000,majestic_en,wavlm_similarity,-0.005016803741455078,-0.009920536741614342,7.730262354016321e-05
110000,majestic_en,camp_similarity,-0.012975113987922669,-0.016626849114894864,-0.009458644300699233
110000,majestic_en,dnsmos_ovrl,-0.07697138419318056,-0.09657693973596777,-0.05787492410319111
110000,majestic_mixed,cer,-0.3546099290780142,-1.6711378192089081,0.6283945016338816
110000,majestic_mixed,wavlm_similarity,-0.008899182081222534,-0.018613860428333285,0.000522707104682923
110000,majestic_mixed,camp_similarity,-0.005102580785751343,-0.01427499032020569,0.0035097149312496205
110000,majestic_mixed,dnsmos_ovrl,-0.04814810956336173,-0.07427465911015839,-0.022004326940501345
110000,ljs_en,wer,-0.28971511347175277,-0.835797823439065,0.20525229377607493
110000,ljs_en,wavlm_similarity,-0.012857831865549087,-0.021747575432062148,-0.004190111014991997
110000,ljs_en,camp_similarity,-0.01044746845960617,-0.015848240002989768,-0.004705199472606183
110000,ljs_en,dnsmos_ovrl,-0.060376886747530306,-0.09396247568240022,-0.02687671232167542
