model,tag,count,first_step,last_step,first,last,minimum,maximum,median,nonfinite,constant,zero_fraction,duplicate_steps,backward_jumps
fm,grad_norm/grad_2.0_norm/decoder.estimator.mid_blocks.1.0.block2.block.0.bias,3400,49,169999,0.00036160621675662696,9.517615399090573e-05,9.025108738569543e-05,0.0007766259950585663,0.00022383112809620798,0,False,0.0,0,0
fm,grad_norm/grad_2.0_norm/decoder.estimator.mid_blocks.1.0.block2.block.2.weight,3400,49,169999,0.0002946165332105011,0.0001619264075998217,0.0001449861447326839,0.0009326860308647156,0.0003166373790008947,0,False,0.0,0,0
fm,grad_norm/grad_2.0_norm/decoder.estimator.mid_blocks.1.0.block2.block.2.bias,3400,49,169999,0.0003212033770978451,0.0001977103529497981,0.00013740173017140478,0.0010715225944295526,0.00036631191323976964,0,False,0.0,0,0
fm,grad_norm/grad_2.0_norm/decoder.estimator.mid_blocks.1.0.res_conv.weight,3400,49,169999,0.01059048157185316,0.004328216891735792,0.0039008762687444687,0.01791926845908165,0.006934881675988436,0,False,0.0,0,0
fm,grad_norm/grad_2.0_norm/decoder.estimator.mid_blocks.1.0.res_conv.bias,3400,49,169999,0.0005602308665402234,0.00031801979639567435,0.00021611373813357204,0.0017913265619426966,0.0006030579097568989,0,False,0.0,0,0
fm,grad_norm/grad_2.0_norm/decoder.estimator.mid_blocks.1.1.0.norm1.weight,3400,49,169999,0.0003668409481178969,0.0002188368234783411,0.00013345085608307272,0.001034544431604445,0.00031476322328671813,0,False,0.0,0,0
fm,grad_norm/grad_2.0_norm/decoder.estimator.mid_blocks.1.1.0.norm1.bias,3400,49,169999,0.0008511324995197356,0.0005034917267039418,0.00033654391882009804,0.0024860105477273464,0.0007205739966593683,0,False,0.0,0,0
fm,grad_norm/grad_2.0_norm/decoder.estimator.mid_blocks.1.1.0.attn1.to_q.weight,3400,49,169999,0.0007777592400088906,0.00016526282706763595,0.00011599870049394667,0.001284738420508802,0.0002472862834110856,0,False,0.0,0,0
fm,grad_norm/grad_2.0_norm/decoder.estimator.mid_blocks.1.1.0.attn1.to_k.weight,3400,49,169999,0.0008449087617918849,0.00019009730021934956,0.00012935276026837528,0.0013527740957215428,0.0002474319189786911,0,False,0.0,0,0
fm,grad_norm/grad_2.0_norm/decoder.estimator.mid_blocks.1.1.0.attn1.to_v.weight,3400,49,169999,0.003005528822541237,0.000986542901955545,0.0009018350974656641,0.007704082876443863,0.0022031309781596065,0,False,0.0,0,0
fm,grad_norm/grad_2.0_norm/decoder.estimator.mid_blocks.1.1.0.attn1.to_out.0.weight,3400,49,169999,0.001551267341710627,0.0003713076876010746,0.00031875926651991904,0.001551267341710627,0.0005082265997771174,0,False,0.0,0,0
fm,grad_norm/grad_2.0_norm/decoder.estimator.mid_blocks.1.1.0.attn1.to_out.0.bias,3400,49,169999,0.0004697567201219499,0.0002675048599485308,0.00020141908316873014,0.0018773690098896623,0.0005624067271128297,0,False,0.0,0,0
fm,grad_norm/grad_2.0_norm/decoder.estimator.mid_blocks.1.1.0.norm3.weight,3400,49,169999,0.0005904764984734356,0.0005209808005020022,0.00026561651611700654,0.0018158832099288702,0.0006028776697348803,0,False,0.0,0,0
fm,grad_norm/grad_2.0_norm/decoder.estimator.mid_blocks.1.1.0.norm3.bias,3400,49,169999,0.0012243232922628522,0.0006501058232970536,0.00038936035707592964,0.002601924119517207,0.0009180857159662992,0,False,0.0,0,0
