model,step,target_dnsmos,target_wavlm,target_camp,en_wer_pct,zh_cer_pct,mixed_cer_pct,summary
imf,2000,3.2048781735954233,0.7042078668541378,0.6508681797318988,1.448575567358764,0.82010582010582,1.3297872340425532,/119010446/tts-assets/training_runs/ljs_majestic_100h_imf_h1_b48_from21k_500ep_20260915/eval/step_00002000/summary.json
imf,5000,3.275801062311907,0.7330400057633718,0.687869592110316,1.2554321583775954,0.6878306878306878,0.975177304964539,/119010446/tts-assets/training_runs/ljs_majestic_100h_imf_h1_b48_from21k_500ep_20260915/eval/step_00005000/summary.json
imf,10000,3.255505656466422,0.7354205079873403,0.7053190863132477,1.0622887493964268,0.5026455026455027,0.08865248226950355,/119010446/tts-assets/training_runs/ljs_majestic_100h_imf_h1_b48_from21k_500ep_20260915/eval/step_00010000/summary.json
imf,15000,3.2923095062695644,0.7450459478298823,0.7064157716433207,1.158860453887011,0.6084656084656085,0.0,/119010446/tts-assets/training_runs/ljs_majestic_100h_imf_h1_b48_from21k_500ep_20260915/eval/step_00015000/summary.json
imf,20000,3.2903541688563176,0.7511394202709198,0.7080995688173506,0.8691453404152583,0.6878306878306878,0.0,/119010446/tts-assets/training_runs/ljs_majestic_100h_imf_h1_b48_from21k_500ep_20260915/eval/step_00020000/summary.json
imf,25000,3.3003489620915145,0.7589845254686144,0.7253974668184916,0.9657170449058425,0.5555555555555556,0.975177304964539,/119010446/tts-assets/training_runs/ljs_majestic_100h_imf_h1_b48_from21k_500ep_20260915/eval/step_00025000/summary.json
imf,30000,3.2975413902044113,0.7565788948535919,0.7198577592107984,1.0140028971511348,0.5291005291005291,0.6205673758865249,/119010446/tts-assets/training_runs/ljs_majestic_100h_imf_h1_b48_from21k_500ep_20260915/eval/step_00030000/summary.json
imf,35000,3.2808893978591054,0.7567230582899518,0.7281828551822238,0.9174311926605505,0.5291005291005291,0.0,/119010446/tts-assets/training_runs/ljs_majestic_100h_imf_h1_b48_from21k_500ep_20260915/eval/step_00035000/summary.json
imf,40000,3.316066769403541,0.7651322650909423,0.7184284512201945,0.9174311926605505,0.4232804232804233,0.08865248226950355,/119010446/tts-assets/training_runs/ljs_majestic_100h_imf_h1_b48_from21k_500ep_20260915/eval/step_00040000/summary.json
imf,45000,3.2929315244869914,0.7589301303360197,0.738050127559238,0.8208594881699662,0.3439153439153439,0.0,/119010446/tts-assets/training_runs/ljs_majestic_100h_imf_h1_b48_from21k_500ep_20260915/eval/step_00045000/summary.json
imf,50000,3.3077707159612917,0.7603749146064123,0.7328018712997436,1.0140028971511348,0.5291005291005291,0.44326241134751776,/119010446/tts-assets/training_runs/ljs_majestic_100h_imf_h1_b48_from21k_500ep_20260915/eval/step_00050000/summary.json
imf,55000,3.300248141812148,0.7574969361225764,0.7366015859444937,0.772573635924674,0.5026455026455027,0.3546099290780142,/119010446/tts-assets/training_runs/ljs_majestic_100h_imf_h1_b48_from21k_500ep_20260915/eval/step_00055000/summary.json
imf,60000,3.3069077673381213,0.7584509850210613,0.7342244459523095,0.8691453404152583,0.582010582010582,0.44326241134751776,/119010446/tts-assets/training_runs/ljs_majestic_100h_imf_h1_b48_from21k_500ep_20260915/eval/step_00060000/summary.json
imf,65000,3.273029233066863,0.7517059274514516,0.7405991825792525,0.8691453404152583,0.6084656084656085,0.5319148936170213,/119010446/tts-assets/training_runs/ljs_majestic_100h_imf_h1_b48_from21k_500ep_20260915/eval/step_00065000/summary.json
imf,70000,3.2967887634251363,0.7500740544001261,0.7345937110318078,0.9657170449058425,0.4761904761904762,0.8865248226950355,/119010446/tts-assets/training_runs/ljs_majestic_100h_imf_h1_b48_from21k_500ep_20260915/eval/step_00070000/summary.json
imf,75000,3.329198756767666,0.7548886575963762,0.7358343639638689,0.8691453404152583,0.7407407407407408,0.26595744680851063,/119010446/tts-assets/training_runs/ljs_majestic_100h_imf_h1_b48_from21k_500ep_20260915/eval/step_00075000/summary.json
imf,80000,3.322575901782604,0.7629620318942599,0.7318534553050995,0.772573635924674,0.6613756613756614,0.26595744680851063,/119010446/tts-assets/training_runs/ljs_majestic_100h_imf_h1_b48_from21k_500ep_20260915/eval/step_00080000/summary.json
imf,85000,3.2973902838785505,0.7624577291806539,0.7403100275993347,0.9657170449058425,0.5555555555555556,0.08865248226950355,/119010446/tts-assets/training_runs/ljs_majestic_100h_imf_h1_b48_from21k_500ep_20260915/eval/step_00085000/summary.json
imf,90000,3.300813536824978,0.7603953479395973,0.7436179600821601,0.8691453404152583,0.4761904761904762,0.975177304964539,/119010446/tts-assets/training_runs/ljs_majestic_100h_imf_h1_b48_from21k_500ep_20260915/eval/step_00090000/summary.json
imf,95000,3.3226826544492547,0.7677600316206614,0.7392341666751437,0.9657170449058425,0.5026455026455027,1.2411347517730498,/119010446/tts-assets/training_runs/ljs_majestic_100h_imf_h1_b48_from21k_500ep_20260915/eval/step_00095000/summary.json
imf,100000,3.3056636292086106,0.7585159632232454,0.7371466170416938,1.0622887493964268,0.6878306878306878,1.2411347517730498,/119010446/tts-assets/training_runs/ljs_majestic_100h_imf_h1_b48_from21k_500ep_20260915/eval/step_00100000/summary.json
imf,105000,3.3040104476568564,0.7612116468615002,0.7401486845811208,1.0140028971511348,0.5555555555555556,0.5319148936170213,/119010446/tts-assets/training_runs/ljs_majestic_100h_imf_h1_b48_from21k_500ep_20260915/eval/step_00105000/summary.json
imf,110000,3.3043880442784506,0.7591742679145601,0.7372527122497559,0.772573635924674,0.5555555555555556,0.44326241134751776,/119010446/tts-assets/training_runs/ljs_majestic_100h_imf_h1_b48_from21k_500ep_20260915/eval/step_00110000/summary.json
imf,115000,3.3117252615631263,0.7586140684949028,0.7428050716718038,0.8691453404152583,0.4761904761904762,1.3297872340425532,/119010446/tts-assets/training_runs/ljs_majestic_100h_imf_h1_b48_from21k_500ep_20260915/eval/step_00115000/summary.json
imf,120000,3.30626981125625,0.7555412677261565,0.7396630487177107,1.0140028971511348,0.6349206349206349,0.3546099290780142,/119010446/tts-assets/training_runs/ljs_majestic_100h_imf_h1_b48_from21k_500ep_20260915/eval/step_00120000/summary.json
imf,125000,3.3205410724420066,0.7606148390637504,0.7379379362530178,0.9657170449058425,0.4232804232804233,0.8865248226950355,/119010446/tts-assets/training_runs/ljs_majestic_100h_imf_h1_b48_from21k_500ep_20260915/eval/step_00125000/summary.json
imf,130000,3.2842752413186735,0.7508497438165876,0.7405500770939721,0.9657170449058425,0.5026455026455027,0.7978723404255319,/119010446/tts-assets/training_runs/ljs_majestic_100h_imf_h1_b48_from21k_500ep_20260915/eval/step_00130000/summary.json
imf,135000,3.3115587562197026,0.7637371925512949,0.7375759029388428,0.9174311926605505,0.6084656084656085,0.1773049645390071,/119010446/tts-assets/training_runs/ljs_majestic_100h_imf_h1_b48_from21k_500ep_20260915/eval/step_00135000/summary.json
fm,2000,3.259887531973886,0.6744765901565551,0.6923718889554341,3.380009657170449,3.015873015873016,9.48581560283688,/119010446/tts-assets/training_runs/ljs_majestic_100h_backbone21k_20260914/eval/step_00002000/summary.json
fm,5000,3.2725670047041255,0.706463442378574,0.7175253442923228,2.26943505552873,1.5343915343915344,4.875886524822695,/119010446/tts-assets/training_runs/ljs_majestic_100h_backbone21k_20260914/eval/step_00005000/summary.json
fm,10000,3.2842359863047488,0.7287212700313992,0.7206381283866035,1.4002897151134719,1.6666666666666667,1.3297872340425532,/119010446/tts-assets/training_runs/ljs_majestic_100h_backbone21k_20260914/eval/step_00010000/summary.json
fm,15000,3.310748409870328,0.7392334241337246,0.7303887967268626,1.448575567358764,1.1375661375661377,1.6843971631205674,/119010446/tts-assets/training_runs/ljs_majestic_100h_backbone21k_20260914/eval/step_00015000/summary.json
fm,20000,3.338219920223006,0.7466702284415563,0.7272595008214314,1.2554321583775954,1.402116402116402,2.039007092198582,/119010446/tts-assets/training_runs/ljs_majestic_100h_backbone21k_20260914/eval/step_00020000/summary.json
fm,25000,3.317138053922634,0.7513603134950002,0.7333522897296482,1.110574601641719,0.9788359788359788,0.7978723404255319,/119010446/tts-assets/training_runs/ljs_majestic_100h_backbone21k_20260914/eval/step_00025000/summary.json
fm,30000,3.3423001156586416,0.7498654630449083,0.7334477604760063,1.158860453887011,0.6613756613756614,0.3546099290780142,/119010446/tts-assets/training_runs/ljs_majestic_100h_backbone21k_20260914/eval/step_00030000/summary.json
fm,35000,3.3366178731486644,0.7598660637935003,0.7374247784084744,1.110574601641719,0.7407407407407408,0.6205673758865249,/119010446/tts-assets/training_runs/ljs_majestic_100h_backbone21k_20260914/eval/step_00035000/summary.json
fm,40000,3.338620161435159,0.7564502443207635,0.738771210246616,0.9657170449058425,0.6349206349206349,0.975177304964539,/119010446/tts-assets/training_runs/ljs_majestic_100h_backbone21k_20260914/eval/step_00040000/summary.json
fm,45000,3.330557223775918,0.7551577519708209,0.7400172046820322,1.158860453887011,0.6613756613756614,0.5319148936170213,/119010446/tts-assets/training_runs/ljs_majestic_100h_backbone21k_20260914/eval/step_00045000/summary.json
fm,50000,3.3503585870147563,0.7574335579077403,0.73516455133756,1.110574601641719,0.6878306878306878,1.950354609929078,/119010446/tts-assets/training_runs/ljs_majestic_100h_backbone21k_20260914/eval/step_00050000/summary.json
fm,55000,3.3424116062953764,0.7558732579151789,0.7420311431090038,1.158860453887011,0.6878306878306878,2.4822695035460995,/119010446/tts-assets/training_runs/ljs_majestic_100h_backbone21k_20260914/eval/step_00055000/summary.json
fm,60000,3.3377563868987767,0.7592005747556686,0.7438154844443003,1.2554321583775954,0.7936507936507936,2.6595744680851063,/119010446/tts-assets/training_runs/ljs_majestic_100h_backbone21k_20260914/eval/step_00060000/summary.json
fm,65000,3.3506216212526874,0.7595274488793479,0.7438683987988366,0.9174311926605505,0.6084656084656085,1.0638297872340425,/119010446/tts-assets/training_runs/ljs_majestic_100h_backbone21k_20260914/eval/step_00065000/summary.json
fm,70000,3.346452929935408,0.7606320753362443,0.7442804900805156,1.0622887493964268,0.82010582010582,0.5319148936170213,/119010446/tts-assets/training_runs/ljs_majestic_100h_backbone21k_20260914/eval/step_00070000/summary.json
fm,75000,3.345094874508685,0.7597049011124505,0.7350457966327667,1.158860453887011,0.582010582010582,1.0638297872340425,/119010446/tts-assets/training_runs/ljs_majestic_100h_backbone21k_20260914/eval/step_00075000/summary.json
fm,80000,3.343969056522814,0.7643821048736572,0.7394588772455851,1.0140028971511348,0.6613756613756614,1.5070921985815602,/119010446/tts-assets/training_runs/ljs_majestic_100h_backbone21k_20260914/eval/step_00080000/summary.json
fm,85000,3.3418398065508774,0.7640473388963276,0.7357844565974342,1.2071463061323033,0.5026455026455027,2.393617021276596,/119010446/tts-assets/training_runs/ljs_majestic_100h_backbone21k_20260914/eval/step_00085000/summary.json
fm,90000,3.3534511333229373,0.7624733055962457,0.7352699916892581,0.8691453404152583,0.582010582010582,1.950354609929078,/119010446/tts-assets/training_runs/ljs_majestic_100h_backbone21k_20260914/eval/step_00090000/summary.json
fm,95000,3.352583085832104,0.7643925741646025,0.7409280461735196,1.158860453887011,0.6878306878306878,1.3297872340425532,/119010446/tts-assets/training_runs/ljs_majestic_100h_backbone21k_20260914/eval/step_00095000/summary.json
fm,100000,3.3481416595406652,0.760966539118025,0.7435363439718882,0.9174311926605505,0.582010582010582,0.6205673758865249,/119010446/tts-assets/training_runs/ljs_majestic_100h_backbone21k_20260914/eval/step_00100000/summary.json
fm,105000,3.3421313677441,0.7635428439908557,0.7365315579043494,1.110574601641719,0.5026455026455027,1.152482269503546,/119010446/tts-assets/training_runs/ljs_majestic_100h_backbone21k_20260914/eval/step_00105000/summary.json
fm,110000,3.3500397384568936,0.7687564720710118,0.7439493481318156,0.9657170449058425,0.7407407407407408,0.7978723404255319,/119010446/tts-assets/training_runs/ljs_majestic_100h_backbone21k_20260914/eval/step_00110000/summary.json
fm,115000,3.3532352729658177,0.7675935706827376,0.7456813224156698,1.0140028971511348,0.6613756613756614,1.4184397163120568,/119010446/tts-assets/training_runs/ljs_majestic_100h_backbone21k_20260914/eval/step_00115000/summary.json
fm,120000,3.3473092190016316,0.7710830208328036,0.7418536053763496,1.0622887493964268,0.6084656084656085,0.7092198581560284,/119010446/tts-assets/training_runs/ljs_majestic_100h_backbone21k_20260914/eval/step_00120000/summary.json
fm,125000,3.34199914674289,0.7671723063786825,0.7429888290829129,1.110574601641719,0.5291005291005291,1.3297872340425532,/119010446/tts-assets/training_runs/ljs_majestic_100h_backbone21k_20260914/eval/step_00125000/summary.json
fm,130000,3.346612616599321,0.7664329702324337,0.7437211981084612,0.8691453404152583,0.4761904761904762,1.6843971631205674,/119010446/tts-assets/training_runs/ljs_majestic_100h_backbone21k_20260914/eval/step_00130000/summary.json
fm,135000,3.353573637430234,0.7688693412807253,0.7425096890661451,1.0622887493964268,0.582010582010582,0.8865248226950355,/119010446/tts-assets/training_runs/ljs_majestic_100h_backbone21k_20260914/eval/step_00135000/summary.json
