group,parameter_tensors,start,end,median,maximum,zero_fraction
speaker_embedding,1,1000,10000,0.03725607320666313,0.06762170046567917,0.0
speaker_embedding,1,10000,20000,0.03481624461710453,0.07770676910877228,0.0
speaker_embedding,1,20000,40000,0.03240208141505718,0.1268617957830429,0.0
speaker_embedding,1,40000,60000,0.03027486428618431,0.05730893462896347,0.0
speaker_embedding,1,60000,80000,0.02909241896122694,0.06001545488834381,0.0
speaker_embedding,1,80000,100000,0.028840431943535805,0.07038514316082001,0.0
speaker_embedding,1,100000,120000,0.02786998450756073,0.06620518118143082,0.0
speaker_embedding,1,120000,136000,0.026673194020986557,0.0625300481915474,0.0
speaker_embedding,1,136000,139151,0.025949562899768353,0.05160458758473396,0.0
prior_encoder,113,1000,10000,0.8908418641974996,2.38725487008974,0.0
prior_encoder,113,10000,20000,0.7458143205024819,2.0383287438616295,0.0
prior_encoder,113,20000,40000,0.6396352112233541,2.123068297392173,0.0
prior_encoder,113,40000,60000,0.5084523907063907,1.673613436467741,0.0
prior_encoder,113,60000,80000,0.4234667452011238,0.9356096718344032,0.0
prior_encoder,113,80000,100000,0.3683285754188802,0.7864745203583532,0.0
prior_encoder,113,100000,120000,0.3156766736714891,0.9073663793813393,0.0
prior_encoder,113,120000,136000,0.2862388595033185,0.7274128357659677,0.0
prior_encoder,113,136000,139151,0.2618846723092269,0.371593139552806,0.0
duration_predictor,10,1000,10000,0.15827697656901507,0.43658146801634684,0.0
duration_predictor,10,10000,20000,0.13299742524679792,0.41106151178296446,0.0
duration_predictor,10,20000,40000,0.09770716257561447,0.42152965459755304,0.0
duration_predictor,10,40000,60000,0.08102223579978396,0.34615456536639033,0.0
duration_predictor,10,60000,80000,0.07106730052168957,0.21975559714061726,0.0
duration_predictor,10,80000,100000,0.06364691668559191,0.22445379505632754,0.0
duration_predictor,10,100000,120000,0.059331983258086876,0.17370484056942995,0.0
duration_predictor,10,120000,136000,0.056425387946342005,0.1561330416381359,0.0
duration_predictor,10,136000,139151,0.05409700057746706,0.10189778959464788,0.0
shared_flow,116,1000,10000,0.9712503616334487,1.7132095851118518,0.0
shared_flow,116,10000,20000,0.857997615237553,1.5375969549120387,0.0
shared_flow,116,20000,40000,0.7846128523223836,2.561919069795636,0.0
shared_flow,116,40000,60000,0.6930337381976116,1.3420285170371535,0.0
shared_flow,116,60000,80000,0.6376913449644077,1.1827471934584444,0.0
shared_flow,116,80000,100000,0.6013543508241688,1.0636538978623047,0.0
shared_flow,116,100000,120000,0.5559940216864705,1.104041969292448,0.0
shared_flow,116,120000,136000,0.5267243954065937,1.058589238494178,0.0
shared_flow,116,136000,139151,0.5003035387475632,0.736540934950397,0.0
u_head,64,1000,10000,0.5736446759776037,0.9812988173153167,0.0
u_head,64,10000,20000,0.5750739412429637,1.0401903403658321,0.0
u_head,64,20000,40000,0.580013881433037,1.9687203805528104,0.0
u_head,64,40000,60000,0.571132798767541,1.1122971364428318,0.0
u_head,64,60000,80000,0.5685192676770255,1.1459590115548786,0.0
u_head,64,80000,100000,0.5710741736743317,0.9808992818733924,0.0
u_head,64,100000,120000,0.5679084309005642,1.2617543081620626,0.0
u_head,64,120000,136000,0.5446705169500126,1.0074603396399167,0.0
u_head,64,136000,139151,0.5544482295653252,0.835957646625132,0.0
interval_projector,4,1000,10000,0.020444005633802616,0.0813886225530355,0.0
interval_projector,4,10000,20000,0.02495882387670739,0.09966987476684998,0.0
interval_projector,4,20000,40000,0.0262514843927293,0.0969790013152421,0.0
interval_projector,4,40000,60000,0.029859829776189284,0.09714600228339877,0.0
interval_projector,4,60000,80000,0.03661999652075497,0.09562328339653807,0.0
interval_projector,4,80000,100000,0.04081341175541217,0.11024359890644637,0.0
interval_projector,4,100000,120000,0.04175470903618739,0.11386234479544884,0.0
interval_projector,4,120000,136000,0.046607180330115655,0.12768810412699927,0.0
interval_projector,4,136000,139151,0.04401713082328383,0.10862313503112447,0.0
v_head,64,1000,10000,0.9489310055366398,1.5728990499126567,0.0
v_head,64,10000,20000,0.8600931594299266,1.52166081243861,0.0
v_head,64,20000,40000,0.822610503718232,3.0776233007136553,0.0
v_head,64,40000,60000,0.8025908841190381,1.523719256941588,0.0
v_head,64,60000,80000,0.7560485569381694,1.8356126852596124,0.0
v_head,64,80000,100000,0.7323868051423271,1.5976896574059458,0.0
v_head,64,100000,120000,0.7363914148046253,1.5817223187443121,0.0
v_head,64,120000,136000,0.7076779600220552,1.4833411108370624,0.0
v_head,64,136000,139151,0.6650805541095168,0.9898668910160423,0.0
frame_encoder,124,1000,10000,0.4423031932765,1.1151669260182817,0.0
frame_encoder,124,10000,20000,0.40454645545949014,1.0295605052129329,0.0
frame_encoder,124,20000,40000,0.3837291184328909,1.3129758226511965,0.0
frame_encoder,124,40000,60000,0.33278140100263665,1.0775975909044042,0.0
frame_encoder,124,60000,80000,0.2985801996351599,0.6944556757292514,0.0
frame_encoder,124,80000,100000,0.27972558958474203,0.5306531047750319,0.0
frame_encoder,124,100000,120000,0.2660104874105049,0.7015039004479753,0.0
frame_encoder,124,120000,136000,0.2529854544369212,0.5228375096395783,0.0
frame_encoder,124,136000,139151,0.24053640316128955,0.43597635695800646,0.0
