phone,count,mean_ms,std_ms,min_ms,p01_ms,p05_ms,p10_ms,p25_ms,p50_ms,p75_ms,p90_ms,p95_ms,p99_ms,max_ms,mean_frames_16ms,p05_frames_16ms,p50_frames_16ms,p95_frames_16ms,lt_1_frame_ratio,lt_2_frames_ratio,ge_10_frames_ratio
AA0,170,60.529411764705905,32.4900304112595,29.999999999999805,29.999999999999805,29.999999999999915,30.00000000000003,30.00000000000025,50.00000000000027,80.00000000000007,109.99999999999999,129.9999999999999,153.10000000000022,169.99999999999994,3.783088235294119,1.8749999999999947,3.125000000000017,8.124999999999993,0.0,0.31176470588235294,0.0058823529411764705
AA1,8114,112.55607591816613,55.10000206389396,29.999999999999805,39.99999999999992,49.99999999999982,50.00000000000027,79.99999999999963,100.00000000000009,130.0000000000008,180.0,229.99999999999997,299.99999999999983,590.0,7.034754744885383,3.124999999999989,6.250000000000005,14.374999999999998,0.0,0.005299482376140005,0.14801577520335224
AA2,315,87.11111111111111,39.14446629630523,29.999999999999805,29.99999999999997,30.00000000000003,40.000000000000036,59.99999999999997,80.00000000000007,109.99999999999987,140.0000000000001,160.00000000000014,190.00000000000034,219.99999999999997,5.444444444444445,1.8750000000000018,5.000000000000004,10.000000000000009,0.0,0.06666666666666667,0.05714285714285714
AE0,132,72.57575757575758,38.76153224527943,29.999999999999805,29.999999999999805,30.00000000000003,30.00000000000025,49.99999999999982,60.00000000000006,89.99999999999989,110.0000000000001,154.4999999999998,200.0000000000001,260.0000000000002,4.535984848484849,1.8750000000000018,3.7500000000000036,9.656249999999988,0.0,0.11363636363636363,0.045454545454545456
AE1,10789,106.65492631383817,54.40787207531357,29.999999999999805,30.0,39.99999999999998,49.99999999999982,70.0,100.0,130.0,169.99999999999994,209.99999999999997,309.99999999999966,559.9999999999997,6.665932894614886,2.4999999999999987,6.25,13.124999999999998,0.0,0.04031884326628974,0.12457132264343312
AE2,262,103.12977099236642,41.62874758070912,30.00000000000003,30.00000000000003,40.000000000000036,51.00000000000022,80.00000000000003,100.0,120.00000000000011,150.00000000000003,179.49999999999983,231.69999999999956,290.00000000000006,6.445610687022901,2.500000000000002,6.25,11.21874999999999,0.0,0.030534351145038167,0.08015267175572519
AH0,28113,53.49267093515456,27.46822003698922,9.999999999999787,10.000000000000009,29.999999999999805,30.00000000000003,40.000000000000036,49.99999999999982,60.00000000000006,80.00000000000007,100.00000000000009,159.99999999999991,490.0000000000002,3.34329193344716,1.8749999999999878,3.124999999999989,6.250000000000005,0.021022302849215666,0.18710205243125955,0.00978195141037954
AH1,7414,81.3946587537092,40.961895530085954,29.99999999999936,29.999999999999805,30.00000000000025,40.000000000000036,50.00000000000004,70.00000000000028,99.99999999999997,129.9999999999999,159.99999999999991,239.99999999999986,370.00000000000006,5.087166172106825,1.8750000000000155,4.375000000000018,9.999999999999995,0.0,0.05489614243323442,0.047882384677636905
AH2,356,82.8932584269663,34.42627458087043,29.999999999999805,39.99999999999992,40.000000000000036,49.99999999999982,59.999999999999986,79.99999999999984,99.99999999999997,130.00000000000006,150.00000000000014,194.49999999999986,199.99999999999994,5.180828651685394,2.500000000000002,4.99999999999999,9.375000000000009,0.0,0.0028089887640449437,0.0449438202247191
AO0,68,57.20588235294117,31.708487833576083,29.999999999999805,29.999999999999805,29.999999999999805,30.00000000000003,30.00000000000025,49.99999999999982,69.99999999999989,90.00000000000003,120.00000000000003,169.99999999999997,170.00000000000003,3.575367647058823,1.8749999999999878,3.124999999999989,7.500000000000002,0.0,0.2647058823529412,0.04411764705882353
AO1,3057,89.80045796532548,46.02902712097285,29.99999999999936,30.00000000000003,39.99999999999999,40.000000000000036,59.99999999999983,80.00000000000007,110.0000000000001,149.99999999999991,180.00000000000006,240.00000000000023,339.99999999999994,5.612528622832842,2.4999999999999996,5.000000000000004,11.250000000000004,0.0,0.03663722603859994,0.07687275106313379
AO2,129,73.2558139534884,36.518292977792626,29.999999999999805,29.999999999999805,30.00000000000003,30.00000000000003,40.000000000000036,69.99999999999984,99.99999999999997,120.00000000000011,130.00000000000026,160.00000000000009,240.0,4.578488372093025,1.8750000000000018,4.37499999999999,8.125000000000016,0.0,0.15503875968992248,0.015503875968992248
AW0,5,126.00000000000011,16.24807680927191,110.0000000000001,110.00000000000011,110.00000000000014,110.00000000000018,110.00000000000031,119.99999999999989,140.0000000000001,146.00000000000014,148.00000000000014,149.60000000000014,150.00000000000014,7.875000000000007,6.875000000000009,7.499999999999993,9.250000000000009,0.0,0.0,0.0
AW1,2704,169.17720636094674,73.15236795808674,79.99999999999984,89.99999999999986,99.99999999999987,100.00000000000054,120.00000000000011,150.00000000000003,189.99999999999994,240.0,329.99999999999983,459.99999999999994,880.0000000000001,10.573575397559171,6.249999999999992,9.375000000000002,20.62499999999999,0.0,0.0,0.44452662721893493
