phone,count,mean_ms,std_ms,min_ms,p01_ms,p05_ms,p10_ms,p25_ms,p50_ms,p75_ms,p90_ms,p95_ms,p99_ms,max_ms,mean_frames_16ms,p05_frames_16ms,p50_frames_16ms,p95_frames_16ms,lt_1_frame_ratio,lt_2_frames_ratio,ge_10_frames_ratio
AA0,168,60.476190476190496,32.56512748853704,29.999999999999805,29.999999999999805,29.999999999999915,30.00000000000003,30.00000000000025,50.00000000000027,80.00000000000007,109.99999999999999,129.9999999999999,153.30000000000032,169.99999999999994,3.779761904761906,1.8749999999999947,3.1250000000000164,8.124999999999993,0.0,0.31547619047619047,0.005952380952380952
AA1,7865,113.2383979656707,54.80383790326592,29.999999999999805,39.99999999999992,49.99999999999982,59.99999999999983,79.99999999999984,100.00000000000009,139.9999999999997,180.00000000000006,229.99999999999997,299.99999999999983,590.0,7.077399872854419,3.124999999999989,6.250000000000006,14.375,0.0,0.0050858232676414495,0.14990464081373173
AA2,307,87.36156351791531,38.99230970906855,29.999999999999805,29.99999999999997,30.00000000000003,40.000000000000036,59.99999999999997,80.00000000000007,109.99999999999987,140.0000000000001,160.00000000000014,190.00000000000037,219.99999999999997,5.460097719869707,1.8750000000000018,5.000000000000004,10.000000000000009,0.0,0.06840390879478828,0.05537459283387622
AE0,132,72.57575757575758,38.76153224527943,29.999999999999805,29.999999999999805,30.00000000000003,30.00000000000025,49.99999999999982,60.00000000000006,89.99999999999989,110.0000000000001,154.4999999999998,200.0000000000001,260.0000000000002,4.535984848484849,1.8750000000000018,3.7500000000000036,9.656249999999988,0.0,0.11363636363636363,0.045454545454545456
AE1,10390,106.96342637151106,54.29528939629698,29.999999999999805,30.00000000000003,40.000000000000036,49.99999999999982,70.0,100.00000000000003,130.0,169.99999999999994,209.99999999999997,309.99999999999994,559.9999999999997,6.685214148219441,2.500000000000002,6.250000000000003,13.124999999999998,0.0,0.03801732435033686,0.12492781520692973
AE2,256,102.9296875,41.81912010256007,30.00000000000003,30.00000000000003,40.000000000000036,50.000000000000156,80.00000000000006,99.99999999999999,120.00000000000011,150.0,180.0,233.49999999999963,290.00000000000006,6.43310546875,2.500000000000002,6.25,11.249999999999998,0.0,0.03125,0.08203125
AH0,27795,53.05522576002878,26.411136446296705,9.999999999999787,10.000000000000009,29.999999999999805,30.00000000000003,40.000000000000036,49.99999999999982,60.00000000000006,80.00000000000007,100.00000000000009,150.00000000000034,490.0000000000002,3.315951610001799,1.8749999999999878,3.124999999999989,6.250000000000006,0.021262817053426874,0.18830724950530672,0.008382802662349344
AH1,7342,81.46690275129393,40.886228286470775,29.99999999999936,29.999999999999805,30.00000000000025,40.000000000000036,50.00000000000004,70.00000000000028,99.99999999999997,129.9999999999999,159.99999999999991,239.99999999999977,370.00000000000006,5.091681421955871,1.8750000000000153,4.375000000000018,9.999999999999995,0.0,0.054889675837646416,0.04807954235903024
AH2,354,82.96610169491525,34.50151856235175,29.999999999999805,39.99999999999992,40.000000000000036,49.99999999999982,60.0,79.99999999999984,99.99999999999997,130.00000000000009,150.00000000000014,194.69999999999968,199.99999999999994,5.185381355932203,2.500000000000002,4.99999999999999,9.375000000000009,0.0,0.002824858757062147,0.04519774011299435
AO0,65,57.076923076923066,32.092322442654634,29.999999999999805,29.999999999999805,29.999999999999805,30.00000000000003,30.00000000000025,49.99999999999982,69.99999999999984,90.00000000000006,120.00000000000007,169.99999999999997,170.00000000000003,3.5673076923076916,1.8749999999999878,3.124999999999989,7.500000000000004,0.0,0.27692307692307694,0.046153846153846156
AO1,3022,89.24553275976174,45.22346827650156,29.99999999999936,30.00000000000003,39.99999999999998,40.000000000000036,59.99999999999983,80.00000000000007,110.0000000000001,149.99999999999946,179.99999999999994,240.0,339.99999999999994,5.577845797485109,2.4999999999999987,5.000000000000004,11.249999999999995,0.0,0.037061548643282594,0.07445400397088021
AO2,128,73.51562500000001,36.54171083651359,29.999999999999805,29.999999999999805,30.00000000000003,30.00000000000003,40.000000000000036,69.99999999999984,100.0,120.00000000000011,130.00000000000026,160.00000000000009,240.0,4.594726562500001,1.8750000000000018,4.37499999999999,8.125000000000016,0.0,0.15625,0.015625
AW0,5,126.00000000000011,16.24807680927191,110.0000000000001,110.00000000000011,110.00000000000014,110.00000000000018,110.00000000000031,119.99999999999989,140.0000000000001,146.00000000000014,148.00000000000014,149.60000000000014,150.00000000000014,7.875000000000007,6.875000000000009,7.499999999999993,9.250000000000009,0.0,0.0,0.0
AW1,2578,160.0155159038014,58.66896844634746,79.99999999999984,89.99999999999986,99.99999999999987,100.00000000000009,120.00000000000011,149.99999999999997,180.00000000000006,219.9999999999998,250.0,390.0,880.0000000000001,10.000969743987588,6.249999999999992,9.374999999999998,15.625,0.0,0.0,0.41854150504266874
AW2,92,129.2391304347826,29.423212355737327,90.00000000000009,90.00000000000009,99.99999999999964,99.99999999999999,109.99999999999996,120.00000000000011,140.0,159.0000000000001,194.5,222.70000000000027,250.0,8.077445652173912,6.249999999999978,7.500000000000007,12.15625,0.0,0.0,0.10869565217391304
AY0,171,119.29824561403507,31.688892428655173,40.000000000000036,56.99999999999997,69.99999999999997,79.99999999999984,99.99999999999991,119.99999999999989,139.99999999999991,160.0,175.0,203.0000000000001,209.99999999999997,7.456140350877192,4.374999999999999,7.499999999999993,10.9375,0.0,0.0,0.10526315789473684
AY1,7539,140.25467568643057,56.77370767206894,29.999999999999805,60.00000000000006,70.00000000000006,80.00000000000007,100.00000000000009,129.9999999999999,160.00000000000014,219.99999999999974,250.99999999999486,320.00000000000017,480.0,8.76591723040191,4.375000000000004,8.124999999999993,15.687499999999678,0.0,0.0009285051067780873,0.2786841756201088
AY2,459,159.2156862745098,62.198600448335185,69.99999999999984,70.00000000000028,80.00000000000007,89.99999999999997,109.99999999999987,140.00000000000057,199.99999999999994,250.0,279.9999999999994,330.0,389.99999999999994,9.950980392156863,5.000000000000004,8.750000000000036,17.49999999999996,0.0,0.0,0.4444444444444444
B,6877,66.63806892540352,23.230052269024235,29.999999999999805,30.00000000000003,39.99999999999998,40.000000000000036,49.999999999999936,60.00000000000006,80.00000000000007,99.99999999999997,109.99999999999999,130.0000000000001,209.99999999999997,4.16487930783772,2.4999999999999987,3.7500000000000036,6.874999999999999,0.0,0.023993020212301874,0.0005816489748436818
CH,1817,129.44964226747385,36.11613416594751,40.000000000000036,69.99999999999984,80.00000000000007,89.99999999999986,100.00000000000009,129.99999999999946,149.99999999999997,170.00000000000014,189.99999999999994,229.99999999999997,350.0000000000001,8.090602641717116,5.000000000000004,8.124999999999966,11.874999999999998,0.0,0.0,0.17776554760594387
D,15454,62.18066519994824,23.60308679272269,29.99999999999936,29.999999999999805,30.00000000000003,39.99999999999992,49.99999999999982,60.0,70.00000000000028,90.0000000000003,109.99999999999999,139.99999999999991,240.0,3.886291574996765,1.8750000000000018,3.75,6.874999999999999,0.0,0.07991458522065485,0.0023942021483111166
DH,8477,49.653179190751445,18.471050417603383,9.999999999999787,10.000000000000009,29.999999999999805,30.00000000000003,40.000000000000036,49.99999999999982,60.00000000000006,70.00000000000006,80.00000000000007,110.00000000000031,270.0,3.1033236994219653,1.8749999999999878,3.124999999999989,5.000000000000004,0.018638669340568598,0.16680429397192403,0.0004718650465966734
