lr,step,group,form,sentences,pearson,std_ratio,cv_ratio,mean_ratio,mae_frames,source
3e-4,10000,speaker_1/Mixed,raw,93,0.668851330101232,0.6436627432631477,0.6949735538375515,0.9261686861448578,1.2176523253880354,/119010446/tts-assets/training_runs/ljs_majestic_100h_imf_h1_b48_from21k_500ep_20260915/eval/step_00010000/duration_summary.json
3e-4,10000,speaker_1/Mixed,inference,93,0.6580992312260536,0.6398559951272847,0.6158007890923849,1.0390632919947282,1.3459895586141433,/119010446/tts-assets/training_runs/ljs_majestic_100h_imf_h1_b48_from21k_500ep_20260915/eval/step_00010000/duration_summary.json
3e-4,10000,speaker_0/English,raw,232,0.6644130857277852,0.633648355961754,0.6835336135297163,0.9270185743896944,1.3827016455397338,/119010446/tts-assets/training_runs/ljs_majestic_100h_imf_h1_b48_from21k_500ep_20260915/eval/step_00010000/duration_summary.json
3e-4,10000,speaker_0/English,inference,232,0.6553220712272972,0.6410151910088094,0.6185029285970366,1.0363979883859853,1.4345146379044684,/119010446/tts-assets/training_runs/ljs_majestic_100h_imf_h1_b48_from21k_500ep_20260915/eval/step_00010000/duration_summary.json
3e-4,15000,speaker_1/Chinese,raw,192,0.6693620440645554,0.667297788383522,0.6925212874059156,0.9635772943285583,1.1484395982910744,/119010446/tts-assets/training_runs/ljs_majestic_100h_imf_h1_b48_from21k_500ep_20260915/eval/step_00015000/duration_summary.json
3e-4,15000,speaker_1/Chinese,inference,192,0.6591394543398159,0.6675649118956366,0.621706296391013,1.0737625077481625,1.3156716417910448,/119010446/tts-assets/training_runs/ljs_majestic_100h_imf_h1_b48_from21k_500ep_20260915/eval/step_00015000/duration_summary.json
3e-4,15000,speaker_1/English,raw,115,0.6539966907360782,0.6578427671823996,0.7320657626628371,0.8986115738967813,1.3023991103646602,/119010446/tts-assets/training_runs/ljs_majestic_100h_imf_h1_b48_from21k_500ep_20260915/eval/step_00015000/duration_summary.json
3e-4,15000,speaker_1/English,inference,115,0.6433073163184669,0.6570268190006174,0.6454559331373648,1.0179266860357299,1.3595306317369356,/119010446/tts-assets/training_runs/ljs_majestic_100h_imf_h1_b48_from21k_500ep_20260915/eval/step_00015000/duration_summary.json
3e-4,15000,speaker_1/Mixed,raw,93,0.6683074546409962,0.660982621589839,0.7031003351808863,0.9400971504583174,1.2311616664709046,/119010446/tts-assets/training_runs/ljs_majestic_100h_imf_h1_b48_from21k_500ep_20260915/eval/step_00015000/duration_summary.json
3e-4,15000,speaker_1/Mixed,inference,93,0.6601504794141364,0.6589587159833019,0.626579995139608,1.0516753185464844,1.3698781838316723,/119010446/tts-assets/training_runs/ljs_majestic_100h_imf_h1_b48_from21k_500ep_20260915/eval/step_00015000/duration_summary.json
